K00001,alcohol dehydrogenase [EC:1.1.1.1]
K21196,2-amino-1-hydroxyethylphosphonate dioxygenase (glycine-forming) [EC:1.13.11.78]
K21202,(-)-deoxypodophyllotoxin synthase [EC:1.14.20.8]
K21203,(-)-pluviatolide 4-O-methyltransferase [EC:2.1.1.323]
K21204,5'-demethylyatein 5'-O-methyltransferase [EC:2.1.1.330]
K21205,bursehernin 5'-monooxygenase [EC:1.14.14.131]
K21207,(-)-pluviatolide synthase [EC:1.14.19.72]
K21208,noroxomaritidine synthase [EC:1.14.19.50 1.14.19.-]
K21210,NDP-mannose synthase
K21211,"NDP-hexose 4,6-dehydratase"
K21212,"NDP-hexose 2,3-dehydratase"
K21213,aminotransferase
K21214,NDP-hexose 4-ketoreductase
K21215,N-methyltransferase [EC:2.1.1.-]
K21219,hydroxymethylpyrimidine kinase / phosphomethylpyrimidine kinase / thiamine-phosphate diphosphorylase [EC:2.7.1.49 2.7.4.7 2.5.1.3]
K21220,thiamine-phosphate diphosphorylase [EC:2.5.1.3]
K21222,cytochrome P450 monooxygenase [EC:1.14.-.-]
K21223,O-methyltransferase [EC:2.1.1.-]
K21224,radical SAM C-methyltransferase
K21225,acyl-CoA synthetase
K21227,MIO-dependent 2-aza-L-tyrosine aminomutase [EC:5.4.3.-]
K21228,(R)-2-aza-beta-tyrosine adenylation enzyme [EC:6.2.1.-]
K21231,"3,8-divinyl protochlorophyllide a 8-vinyl-reductase (ferredoxin) [EC:1.3.7.13]"
K21254,orsellinic acid synthase [EC:2.3.1.-]
K21255,orsellinic acid C2-O-methyltransferase [EC:2.1.1.-]
K21256,flavin-dependent halogenase
K21257,orsellenic acid P450 oxidase [EC:1.14.-.-]
K21258,orsellinic acid C3-O-methyltransferase [EC:2.1.1.-]
K21259,"calicheamicinone 4-hydroxyamino-4,6-dideoxy-alpha-D-glucosyltransferase [EC:2.4.1.-]"
K21260,calicheamicin 4-deoxy-4-thio-alpha-D-digitoxosyltransferase [EC:2.4.1.-]
K21261,acyltransferase
K21262,calicheamicin aminopentosyltransferase [EC:2.4.2.-]
K21263,calicheamicin 3'-O-methyl-rhamnosyltransferase [EC:2.4.1.-]
K21267,rifampicin monooxygenase [EC:1.14.13.211]
K21268,hexaprenyl diphosphate synthase [EC:2.5.1.82]
K21271,aurachin B dehydrogenase [EC:1.1.1.394]
K21272,aurachin C monooxygenase/isomerase [EC:1.14.13.222]
K21273,"trans,polycis-polyprenyl diphosphate synthase [EC:2.5.1.88]"
K21274,hexaprenyl diphosphate synthase small subunit [EC:2.5.1.83]
K21275,hexaprenyl diphosphate synthase large subunit [EC:2.5.1.83]
K21279,3-deoxy-D-glycero-D-galacto-nononate 9-phosphate synthase [EC:2.5.1.132]
K21282,N-demethylindolmycin N-methyltransferase [EC:2.1.1.328]
K21284,3-hydroxy-4-methylanthranilate adenylyltransferase [EC:2.7.7.97]
K21285,teichoic acid glycerol-phosphate primase [EC:2.7.8.44]
K21286,protein N-terminal glutamine amidohydrolase [EC:3.5.1.122]
K21287,gamma-glutamylanilide hydrolase [EC:3.5.1.123]
K21289,"phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit gamma [EC:2.7.1.153]"
K21291,ent-cassadiene hydroxylase [EC:1.14.14.69]
K21292,ent-kaurene oxidase [EC:1.14.14.86]
K21294,gliotoxin/aspirochlorine/mycotoxins biosynthesis cytochrome P450 monooxygenase [EC:1.-.-.-]
K21295,5-dehydro-6-demethoxyfumagillol synthase [EC:1.14.14.184]
K21301,"5a,11a-dehydrotetracycline reductase [EC:1.3.98.4]"
K21307,sulfite dehydrogenase (quinone) subunit SoeA [EC:1.8.5.6]
K21308,sulfite dehydrogenase (quinone) subunit SoeB
K21309,sulfite dehydrogenase (quinone) subunit SoeC
K21310,methanethiol S-methyltransferase [EC:2.1.1.334]
K21311,norbelladine O-methyltransferase [EC:2.1.1.336]
K21312,bacteriochlorophyllide c C-7(1)-hydroxylase [EC:1.17.98.2]
K21317,butane monooxygenase alpha subunit [EC:1.14.13.230]
K21318,butane monooxygenase beta subunit [EC:1.14.13.230]
K21319,butane monooxygenase gamma subunit [EC:1.14.13.230]
K21320,butane monooxygenase reductase
K21321,butane monooxygenase regulatory protein
K21322,butane monooxygenase hypothetical assembly protein
K21325,dTDP-rhamnose C3-O-methyltransferase [EC:2.1.1.-]
K21326,aminotransferase
K21327,N-methyltransferase [EC:2.1.1.-]
K21328,"dTDP-4-amino-4,6-dideoxy-D-glucose/dTDP-4-amino-2,4-dideoxy-beta-L-xylose transaminase [EC:2.6.1.33 2.6.1.-]"
K21329,aminosugar N-oxygenase [EC:1.14.15.-]
K21330,C-S lyase
K21331,dTDP-alpha-D-glucose dehydrogenase [EC:1.1.1.-]
K21332,dTDP-alpha-D-glucuronic acid decarboxylase [EC:1.1.1.-]
K21333,"dTDP-4-oxo-alpha-D-xylose 2,3-dehydratase [EC:4.2.1.-]"
K21335,"dTDP-4-amino-2,4-dideoxy-beta-L-xylose N-methyltransferase [EC:2.1.1.-]"
K21336,C-methyltransferase [EC:2.1.1.-]
K21337,aminotransferase
K21338,"5,10-dihydrophenazine-1-carboxylate 9-dimethylallyltransferase [EC:2.5.1.121]"
K21344,D-glycero-beta-D-manno-heptose-7-phosphate kinase [EC:2.7.1.167]
K21345,D-glycero-beta-D-manno-heptose 1-phosphate adenylyltransferase [EC:2.7.7.70]
K21346,methionine transaminase [EC:2.6.1.88]
K21354,"beta-D-glucosyl crocetin beta-1,6-glucosyltransferase [EC:2.4.1.330]"
K21359,3-isopropylmalate/methylthioalkylmalate dehydratase small subunit [EC:4.2.1.33 4.2.1.170]
K21360,3-isopropylmalate/methylthioalkylmalate dehydrogenase [EC:1.1.1.85 1.1.1.-]
K21362,galactolipid galactosyltransferase [EC:2.4.1.184]
K21371,crocetin glucosyltransferase [EC:2.4.1.271]
K21372,chalcone 4'-O-glucosyltransferase [EC:2.4.1.286]
K21373,7-deoxyloganetic acid glucosyltransferase [EC:2.4.1.323]
K21374,7-deoxyloganetin glucosyltransferase [EC:2.4.1.324]
K21379,"dTDP-4-amino-4,6-dideoxy-D-glucose acyltransferase [EC:2.3.1.209]"
K21383,anthocyanidin 3-O-glucoside 6''-O-acyltransferase [EC:2.3.1.215]
K21418,heme oxygenase 2 [EC:1.14.14.18]
K21419,arginyl-tRNA---protein transferase [EC:2.3.2.8]
K21420,leucyl-tRNA---protein transferase [EC:2.3.2.29]
K21425,rosmarinate synthase [EC:2.3.1.140]
K21428,3-acetyloctanal synthase [EC:2.2.1.12]
K21456,glutathione synthase [EC:6.3.2.3]
K21477,ditryptophenaline biosynthesis cytochrome P450 monooxygenase [EC:1.-.-.-]
K21479,cobalt-factor III methyltransferase [EC:2.1.1.272]
K21480,"heme oxygenase (biliverdin-producing, ferredoxin) [EC:1.14.15.20]"
K21513,(+)-6a-hydroxymaackiain 3-O-methyltransferase [EC:2.1.1.270]
K21539,mycinamicin III 3''-O-methyltransferase [EC:2.1.1.237]
K21540,mycinamicin VI 2''-O-methyltransferase [EC:2.1.1.238]
K21550,5-hydroxyfuranocoumarin 5-O-methyltransferase [EC:2.1.1.69]
K21568,pinoresinol/lariciresinol reductase [EC:1.23.1.1 1.23.1.2 1.23.1.3 1.23.1.4]
K21569,camphor 5-monooxygenase [EC:1.14.15.1]
K21570,putidaredoxin---NAD+ reductase [EC:1.18.1.5]
K21574,"glucan 1,4-alpha-glucosidase [EC:3.2.1.3]"
K21580,reticuline N-methyltransferase [EC:2.1.1.337]
K21581,desmethylxanthohumol 6'-O-methyltransferase [EC:2.1.1.338]
K21582,xanthohumol 4'-O-methyltransferase [EC:2.1.1.339]
K21585,3-aminobutanoyl-CoA transaminase [EC:2.6.1.111]
K21587,coumarin 8-geranyltransferase [EC:2.5.1.138]
K21588,umbelliferone 6-dimethylallyltransferase [EC:2.5.1.139]
K21589,cAMP deaminase [EC:3.5.4.46]
K21590,2-acylphloroglucinol 4-prenyltransferase [EC:2.5.1.136]
K21591,teichoic acid glycerol-phosphate transferase [EC:2.7.8.45]
K21592,teichoic acid ribitol-phosphate primase [EC:2.7.8.46]
K21593,melamine deaminase [EC:3.5.4.45]
K21604,jasmonoyl-L-amino acid hydrolase [EC:3.5.1.127]
K21607,tetrachlorobenzoquinone reductase [EC:1.1.1.404]
K21610,"Ni-sirohydrochlorin a,c-diamide reductive cyclase subunit CfbC [EC:6.3.3.7]"
K21611,"Ni-sirohydrochlorin a,c-diamide reductive cyclase subunit CfbD [EC:6.3.3.7]"
K21612,coenzyme F430 synthetase [EC:6.4.1.9]
K21617,4-hydroxyproline betaine 2-epimerase [EC:5.1.1.22]
K21618,(R)-2-hydroxyglutarate---pyruvate transhydrogenase [EC:1.1.99.40]
K21619,tagaturonate epimerase [EC:5.1.2.7]
K21620,galactitol 2-dehydrogenase [EC:1.1.1.16]
K21621,tagatose kinase [EC:2.7.1.101]
K21622,D-tagatose 6-phosphate 4-epimerase [EC:5.1.3.40]
K21623,L-cystine beta-lyase [EC:4.4.1.35]
K21624,cis-L-3-hydroxyproline dehydratase [EC:4.2.1.171]
K21636,ribonucleoside-triphosphate reductase (formate) [EC:1.1.98.6]
K21639,L-arginine oxidase [EC:1.4.3.25]
K21647,tetrachloroethene reductive dehalogenase [EC:1.21.99.5]
K21648,tetrachloroethene reductive dehalogenase membrane anchor
K21672,"2,4-diaminopentanoate dehydrogenase [EC:1.4.1.12 1.4.1.26]"
K21673,caffeine dehydrogenase subunit alpha [EC:1.17.5.2]
K21674,caffeine dehydrogenase subunit beta [EC:1.17.5.2]
K21675,caffeine dehydrogenase subunit gamma [EC:1.17.5.2]
K21680,ribulose-5-phosphate 2-dehydrogenase [EC:1.1.1.137]
K21681,ribitol-5-phosphate 2-dehydrogenase (NADP+) / D-ribitol-5-phosphate cytidylyltransferase [EC:1.1.1.405 2.7.7.40]
K21683,4-methyl-5-nitrocatechol 5-monooxygenase [EC:1.14.13.210]
K21692,methyltetrahydroprotoberberine 14-monooxygenase [EC:1.14.14.97]
K21693,protopine 6-monooxygenase [EC:1.14.14.98]
K21714,psoralen synthase [EC:1.14.14.141]
K21715,angelicin synthase [EC:1.14.14.148]
K21718,oryzalexin E synthase [EC:1.14.14.122]
K21719,ent-sandaracopimaradiene 3-hydroxylase / syn-pimaradiene 3-monooxygenase [EC:1.14.14.70 1.14.14.68]
K21721,N-[(2S)-2-amino-2-carboxyethyl]-L-glutamate dehydrogenase [EC:1.5.1.51]
K21722,methylxanthine N1-demethylase [EC:1.14.13.178]
K21723,methylxanthine N3-demethylase [EC:1.14.13.179]
K21724,7-methylxanthine demethylase [EC:1.14.13.128]
K21725,4-nitrocatechol/4-nitrophenol 4-monooxygenase [EC:1.14.13.166 1.14.13.167]
K21726,"4-nitrophenol 2-monooxygenase / 4-nitrocatechol 4-monooxygenase, oxygenase component [EC:1.14.13.29 1.14.13.166]"
K21727,"4-nitrophenol 2-monooxygenase / 4-nitrocatechol 4-monooxygenase, reductase component"
K21730,"(2,2,3-trimethyl-5-oxocyclopent-3-enyl)acetyl-CoA 1,5-monooxygenase [EC:1.14.13.160]"
K21731,"2,5-diketocamphane 1,2-monooxygenase [EC:1.14.14.108]"
K21737,acyl-lipid Delta6-acetylenase / acyl-lipid (9-3)-desaturase [EC:1.14.19.38 1.14.19.47]
K21738,rubredoxin---NAD+ reductase [EC:1.18.1.1]
K21749,N-acylneuraminate/3-deoxy-D-glycero-D-galacto-nononate cytidylyltransferase [EC:2.7.7.43 2.7.7.92]
K21750,3-deoxy-D-glycero-D-galacto-nononate cytidylyltransferase [EC:2.7.7.92]
K21759,vanillate/4-hydroxybenzoate decarboxylase subunit D [EC:4.1.1.- 4.1.1.61]
K21778,3-acetyloctanal aminotransferase [EC:2.6.1.-]
K21779,2-methyl-3-n-amyl-dihydropyrrolel dehydrogenase
K21780,L-proline---[L-prolyl-carrier protein] ligase [EC:6.2.1.53]
K21781,peptidyl carrier protein
K21782,L-prolyl-PCP dehydrogenase [EC:1.3.8.14]
K21783,beta-ketoacyl ACP synthase [EC:2.3.1.-]
K21784,"4-hydroxy-2,2'-bipyrrole-5-methanol synthase"
K21785,"4-hydroxy-2,2'-bipyrrole-5-methanol dehydrogenase"
K21786,"4-hydroxy-2,2'-bipyrrole-5-carbaldehyde O-methyltransferase [EC:2.1.1.-]"
K21787,prodigiosin/undecylprodigiosin synthetase
K21788,dodecanoy-ACP synthase
K21789,dodecanoy-ACP synthase
K21790,acyl carrier protein
K21791,thioesterase
K21792,polyketide synthase
K21793,oxidoreductase
K21794,linoleate 11-lipoxygenase [EC:1.13.11.45]
K21795,phenylalanine 2-monooxygenase [EC:1.13.12.9]
K21796,Prochlorococcus phage phycoerythrobilin synthase [EC:1.3.7.6]
K21797,phosphatidylinositol 4-phosphatase [EC:3.1.3.-]
K21798,phosphatidylinositol 4-phosphatase [EC:3.1.3.-]
K21801,indoleacetamide hydrolase [EC:3.5.1.-]
K21802,vanillin dehydrogenase [EC:1.2.1.67]
K21819,agroclavine dehydrogenase [EC:1.5.1.46]
K21832,glycine betaine monooxygenase B [EC:1.14.13.251]
K21833,"N,N-dimethylglycine/sarcosine dehydrogenase [EC:1.5.7.3]"
K21834,"N,N-dimethylglycine/sarcosine dehydrogenase ferredoxin subunit"
K21836,D-lactate dehydrogenase (acceptor) [EC:1.1.99.6]
K21840,hexose oxidase [EC:1.1.3.5]
K21883,2-dehydro-3-deoxy-L-rhamnonate dehydrogenase (NAD+) [EC:1.1.1.401]
K21888,glutathione dehydrogenase/transferase [EC:1.8.5.1 2.5.1.18]
K21895,tabersonine 16-O-methyltransferase [EC:2.1.1.94]
K21896,"3-hydroxy-16-methoxy-2,3-dihydrotabersonine N-methyltransferase [EC:2.1.1.99]"
K21898,ornithine racemase [EC:5.1.1.12]
K21910,L-erythrulose 1-phosphate isomerase [EC:5.3.1.33]
K21925,(-)-camphene/tricyclene/(4S)-limonene/myrcene synthase [EC:4.2.3.117 4.2.3.105 4.2.3.16 4.2.3.15]
K21926,(+)-alpha-terpineol/(4S)-limonene synthase [EC:4.2.3.112 4.2.3.16]
K21927,alpha-muurolene/germacrene-A/gamma-muurolene/(+)-delta-cadinol synthase [EC:4.2.3.125 4.2.3.23 4.2.3.126 4.2.3.212]
K21928,delta/alpha/beta-amyrin synthase [EC:5.4.99.55 5.4.99.40 5.4.99.39]
K21934,2-phosphonomethylmalate synthase [EC:2.3.3.19]
K21935,beta-lysine N6-acetyltransferase [EC:2.3.1.264]
K21936,anaerobilin synthase [EC:2.1.1.342]
K21937,3-aminomethylindole N-methyltransferase [EC:2.1.1.340]
K21938,(+)-car-3-ene synthase [EC:4.2.3.107]
K21948,3-dehydrotetronate 4-kinase [EC:2.7.1.217]
K21949,N-(2-amino-2-carboxyethyl)-L-glutamate synthase [EC:2.5.1.140]
K21977,phosphopantothenate---cysteine ligase (CTP) [EC:6.3.2.5]
K21984,(+)-epi-alpha-bisabolol synthase [EC:4.2.3.138]
K21995,cytochrome P450 family 77 subfamily A [EC:1.14.-.-]
K22002,aconitate Delta-isomerase [EC:5.3.3.7]
K22003,aconitate Delta-isomerase [EC:5.3.3.7]
K22004,trans-aconitate decarboxylase [EC:4.1.1.113]
K22005,itaconate hydroxylase
K22011,sirohydrochlorin cobalto/nickelchelatase [EC:4.99.1.3 4.99.1.11]
K22012,"Ni-sirohydrochlorin a,c-diamide synthase [EC:6.3.5.12]"
K22013,magnesium dechelatase [EC:4.99.1.10]
K22015,formate dehydrogenase (hydrogenase) [EC:1.17.98.4 1.17.98.-]
K22026,nucleoside kinase [EC:2.7.1.73 2.7.1.213 2.7.1.-]
K22049,S-linalool synthase [EC:4.2.3.25]
K22050,(-)-beta-pinene synthase [EC:4.2.3.120]
K22064,beta-farnesene synthase [EC:4.2.3.47]
K22065,alpha-copaene/(+)-delta-cadinene synthase [EC:4.2.3.133 4.2.3.13]
K22081,methylamine---glutamate N-methyltransferase subunit A [EC:2.1.1.21]
K22082,methylamine---glutamate N-methyltransferase subunit B [EC:2.1.1.21]
K22083,methylamine---glutamate N-methyltransferase subunit C [EC:2.1.1.21]
K22084,methylglutamate dehydrogenase subunit A [EC:1.5.99.5]
K22085,methylglutamate dehydrogenase subunit B [EC:1.5.99.5]
K22086,methylglutamate dehydrogenase subunit C [EC:1.5.99.5]
K22087,methylglutamate dehydrogenase subunit D [EC:1.5.99.5]
K22088,norreticuline-7-O-methyltransferase [EC:2.1.1.-]
K22089,tetrahydroprotoberberine oxidase [EC:1.3.3.8]
K22090,noroxomaritidine/norcraugsodine reductase [EC:1.3.1.- 1.4.1.-]
K22091,O-methyltransferase [EC:2.1.1.-]
K22092,ipecoside beta-D-glucosidase [EC:3.2.1.220]
K22093,"1,2-dehydroreticuline synthase/reductase [EC:1.14.19.54 1.5.1.27]"
K22094,(S)-1-hydroxy-N-methylcanadine 13-hydroxylase [EC:1.14.14.163]
K22095,"(13S,14R)-1,13-dihydroxy-N-methylcandine 13-O-acetyltransferase [EC:2.3.1.285]"
K22096,"(13S,14R)-13-O-acetyl-1-hydroxy-N-methylcanadine 8-hydroxylase [EC:1.14.14.167]"
K22097,3-O-acetylpapaveroxine carboxylesterase [EC:3.1.1.105]
K22098,noscapine synthase [EC:1.1.1.415]
K22099,dihydrofolate synthase / folylpolyglutamate synthase [EC:6.3.2.12 6.3.2.17]
K22100,"2,5-diamino-6-(5-phospho-D-ribosylamino)pyrimidin-4(3H)-one isomerase/dehydratase [EC:4.2.1.160]"
K22101,dihydroneopterin triphosphate aldolase (PTPS-III) / 6-pyruvoyltetrahydropterin synthase [EC:4.1.2.60 4.2.3.12]
K22102,dihydroneopterin phosphate aldolase [EC:4.1.2.59]
K22113,"fumarate---(S)-2,3-diaminopropanoate ligase [EC:6.3.2.46]"
K22114,dapdiamide synthase [EC:6.3.2.47]
K22129,D-threonate/D-erythronate kinase [EC:2.7.1.219 2.7.1.220]
K22130,3-dehydro-4-phosphotetronate decarboxylase [EC:4.1.1.104]
K22131,2-dehydrotetronate isomerase [EC:5.3.1.35]
K22133,oxalate---CoA ligase [EC:6.2.1.8]
K22182,thioredoxin reductase (NADPH) [EC:1.8.1.9]
K22185,D-xylose 1-dehydrogenase [EC:1.1.1.175]
K22186,xylonate dehydratase [EC:4.2.1.82]
K22187,alpha-ketoglutaric semialdehyde dehydrogenase [EC:1.2.1.-]
K22199,phosphopentomutase [EC:5.4.2.7]
K22203,dopachrome tautomerase [EC:5.3.3.12]
K22205,S-adenosyl-L-methionine hydrolase (adenosine-forming) [EC:3.13.2.3]
K22207,L-cysteine desulfhydrase [EC:4.4.1.28]
K22208,(-)-camphene synthase [EC:4.2.3.117]
K22210,D-glutamate cyclase [EC:4.2.1.48]
K22211,D-lactate dehydratase [EC:4.2.1.130]
K22212,malolactic enzyme [EC:4.1.1.101]
K22214,propionyl-CoA:succinyl-CoA transferase [EC:2.8.3.27]
K22215,galactose dehydrogenase [EC:1.1.1.48 1.1.1.120]
K22223,phosphoglycolate phosphatase [EC:3.1.3.18]
K22224,acetate---CoA ligase (ADP-forming) subunit beta [EC:6.2.1.13]
K22225,siroheme decarboxylase [EC:4.1.1.111]
K22226,Fe-coproporphyrin III synthase
K22227,AdoMet-dependent heme synthase [EC:1.3.98.6]
K22229,2-ketogluconate reductase [EC:1.1.1.215]
K22230,scyllo-inositol 2-dehydrogenase (NADP+) [EC:1.1.1.-]
K22231,scyllo-inosose 3-dehydrogenase [EC:1.1.1.-]
K22232,3-dehydro-scyllo-inosose hydrolase [EC:3.7.1.-]
K22233,5-keto-L-gluconate epimerase [EC:5.1.-.-]
K22251,glycerol dehydrogenase [EC:1.1.1.6]
K22252,GDP-6-deoxy-D-talose 4-dehydrogenase [EC:1.1.1.135]
K22268,"xylan 1,4-beta-xylosidase [EC:3.2.1.37]"
K22269,"8-amino-8-demethylriboflavin N,N-dimethyltransferase [EC:2.1.1.343]"
K22270,3-hydroxybenzoate 6-monooxygenase [EC:1.14.13.24]
K22283,hepatic triacylglycerol lipase [EC:3.1.1.3]
K22284,endothelial lipase [EC:3.1.1.3]
K22292,N-acetyl-D-muramate 6-phosphate phosphatase [EC:3.1.3.105]
K22305,phosphoserine phosphatase [EC:3.1.3.3]
K22307,"1,3-alpha-isomaltosidase [EC:3.2.1.204]"
K22308,isomaltose glucohydrolase [EC:3.2.1.205]
K22309,ornithine lipid N-methyltransferase [EC:2.1.1.344]
K22310,L-ornithine Nalpha-acyltransferase [EC:2.3.2.30]
K22311,phosphatidylinositol dimannoside acyltransferase [EC:2.3.1.265]
K22312,hydroxyjasmonate sulfotransferase [EC:2.8.2.39]
K22313,(+)-kolavelool synthase [EC:3.1.7.12]
K22314,glucosinolate gamma-glutamyl hydrolase [EC:3.4.19.16]
K22316,ribonuclease H / adenosylcobalamin/alpha-ribazole phosphatase [EC:3.1.26.4 3.1.3.73]
K22317,acyl-CoA:acyl-CoA alkyltransferase [EC:2.3.3.20]
K22318,cis-3-alkyl-4-acyloxetan-2-one decarboxylase [EC:4.1.1.114]
K22321,aliphatic desulfoglucosinolate sulfotransferase [EC:2.8.2.38]
K22323,"3-hydroxy-1,2-didehydro-2,3-dihydrotabersonine reductase [EC:1.1.99.41]"
K22326,vinorine hydroxylase [EC:1.14.14.104]
K22327,4-hydroxyphenylacetaldehyde synthase [EC:4.1.1.108]
K22328,phenylacetaldehyde synthase [EC:4.1.1.109]
K22336,bacterioferritin B [EC:1.16.3.1]
K22345,glucosaminate ammonia-lyase [EC:4.3.1.9]
K22353,alkene monooxygenase alpha subunit [EC:1.14.13.69]
K22354,alkene monooxygenase beta subunit [EC:1.14.13.69]
K22355,alkene monooxygenase coupling protein
K22356,alkene monooxygenase reductase
K22357,alkene monooxygenase alpha subunit [EC:1.14.13.69]
K22358,alkene monooxygenase beta subunit [EC:1.14.13.69]
K22359,alkene monooxygenase gamma subunit [EC:1.14.13.69]
K22360,alkene monooxygenase ferredoxin subunit
K22361,alkene monooxygenase effector subunit
K22362,alkene monooxygenase ferredoxin reductase component [EC:1.18.1.3]
K22363,2-hydroxypropyl-CoM lyase [EC:4.4.1.23]
K22365,tabersonine 3-oxygenase [EC:1.14.14.50]
K22373,lactate racemase [EC:5.1.2.1]
K22374,3''-deamino-3''-oxonicotianamine reductase [EC:1.1.1.285]
K22387,lysophospholipase D [EC:3.1.4.39]
K22389,phospholipase A1 [EC:3.1.1.32]
K22391,GTP cyclohydrolase I [EC:3.5.4.16]
K22392,(S)-2-hydroxypropylphosphonic acid epoxidase [EC:1.11.1.23]
K22393,flavin reductase (NADH) subunit 1 [EC:1.5.1.36]
K22394,flavin reductase (NADH) subunit 2 [EC:1.5.1.36]
K22395,cinnamyl-alcohol dehydrogenase [EC:1.1.1.195]
K22396,xylonate dehydratase [EC:4.2.1.82]
K22397,2-dehydro-3-deoxy-D-pentonate aldolase [EC:4.1.2.28]
K22410,[histone H3]-lysine9 N-methyltransferase [EC:2.1.1.367]
K22417,benzaldehyde dehydrogenase (NAD+) / indole-3-acetaldehyde oxidase [EC:1.2.1.28 1.2.3.7]
K22424,glutamine kinase [EC:2.7.3.13]
K22425,oleuropein beta-glucosidase [EC:3.2.1.206]
K22426,mogroside IE synthase [EC:2.4.1.350]
K22427,phenylalanine decarboxylase [EC:4.1.1.53]
K22433,L-tryptophan decarboxylase [EC:4.1.1.105]
K22434,tryptamine 4-monooxygenase [EC:1.14.99.59]
K22435,4-hydroxytryptamine kinase [EC:2.7.1.222]
K22436,psilocybin synthase [EC:2.1.1.345]
K22437,carnosine N-methyltransferase [EC:2.1.1.22]
K22438,trans-aconitate 3-methyltransferase [EC:2.1.1.145]
K22440,naringenin 7-O-methyltransferase [EC:2.1.1.232]
K22445,"4,4'-diapolycopenoate synthase [EC:1.2.99.10]"
K22450,aralkylamine N-acetyltransferase [EC:2.3.1.87]
K22451,4-alpha-glucanotransferase [EC:2.4.1.25]
K22457,asparagine---oxo-acid transaminase [EC:2.6.1.14]
K22458,crocetin dialdehyde synthase [EC:1.13.11.84]
K22463,2-oxo-3-(phosphooxy)propyl 3-oxoalkanoate synthase [EC:2.3.1.277]
K22464,fatty acid photodecarboxylase [EC:4.1.1.106]
K22465,5-hydroxybenzimidazole synthase [EC:4.1.99.23]
K22466,5-hydroxybenzimidazole synthase [EC:4.1.99.23]
K22467,rhizathalene A synthase [EC:4.2.3.195]
K22470,eukaryotic sulfide quinone oxidoreductase [EC:1.8.5.8]
K22473,"alcohol dehydrogenase (quinone), dehydrogenase subunit [EC:1.1.5.5]"
K22474,"alcohol dehydrogenase (quinone), cytochrome c subunit [EC:1.1.5.5]"
K22476,N-acetylglutamate synthase [EC:2.3.1.1]
K22477,N-acetylglutamate synthase [EC:2.3.1.1]
K22478,bifunctional N-acetylglutamate synthase/kinase [EC:2.3.1.1 2.7.2.8]
K22480,heterodisulfide reductase subunit A1 [EC:1.8.7.3]
K22481,heterodisulfide reductase subunit B1 [EC:1.8.7.3]
K22482,heterodisulfide reductase subunit C1 [EC:1.8.7.3]
K22492,beta-carotene 3-hydroxylase [EC:1.14.15.24]
K22502,lycopene beta-cyclase [EC:5.5.1.19]
K22503,aspartyl-tRNA synthetase [EC:6.1.1.12]
K22515,formate dehydrogenase beta subunit [EC:1.17.1.9]
K22516,formate dehydrogenase (coenzyme F420) alpha subunit [EC:1.17.98.3 1.8.98.6]
K22539,pectate lyase [EC:4.2.2.2]
K22540,"3-hydroxyacyl-thioester dehydratase, animal type [EC:4.2.1.-]"
K22541,"3-hydroxyacyl-thioester dehydratase, fungi type [EC:4.2.1.-]"
K22548,trans-L-3-hydroxyproline dehydratase [EC:4.2.1.77]
K22549,D-hydroxyproline dehydrogenase subunit alpha [EC:1.5.99.-]
K22550,D-hydroxyproline dehydrogenase subunit gamma
K22552,multicopper oxidase [EC:1.16.3.1]
K22553,4-methoxybenzoate monooxygenase (O-demethylating) [EC:1.14.99.15]
K22554,acyl-coenzyme A thioesterase THEM5 [EC:3.1.2.2]
K22567,rubredoxin---NAD+ reductase [EC:1.18.1.1]
K22568,"acetyl-CoA/propionyl-CoA carboxylase, PccX subunit [EC:6.4.1.2 6.4.1.3]"
K22569,(+)-exo-beta-bergamotene synthase [EC:4.2.3.211]
K22570,5-dehydro-6-demethoxyfumagillol dioxygenase [EC:1.14.11.82]
K22571,5-dehydro-6-demethoxy-6-hydroxyfumagillol O-methyltransferase [EC:2.1.1.387]
K22572,5-dehydrofumagillol 5-reductase [EC:1.1.1.437]
K22573,fumagillin biosynthesis polyketide synthase
K22574,fumagillin biosynthesis transferase
K22575,fumagillin biosynthesis monooxygenase
K22577,(+)-O-methylkolavelool synthase [EC:2.1.1.347]
K22578,sesamin methylene transferase [EC:2.1.5.1]
K22579,rifampicin phosphotransferase [EC:2.7.9.6]
K22581,tenuazonic acid synthetase [EC:6.3.2.50]
K22586,ethanol O-acetyltransferase [EC:2.3.1.268]
K22588,"acetylserotonin O-methyltransferase, plant [EC:2.1.1.4]"
K22596,"gamma-glutamylcyclotransferase, plant [EC:4.3.2.9]"
K22597,glucosylglycerate phosphorylase [EC:2.4.1.352]
K22598,8-demethyl-8-aminoriboflavin-5'-phosphate synthase [EC:2.6.1.114]
K22600,guanylate cyclase 2G [EC:4.6.1.2]
K22601,oxamate carbamoyltransferase [EC:2.1.3.5]
K22602,oxamate amidohydrolase [EC:3.5.1.126]
K22622,S-disulfanyl-L-cysteine oxidoreductase SoxD [EC:1.8.2.6]
K22634,salviol synthase [EC:1.14.14.62]
K22635,ferruginol monooxygenase / sugiol synthase [EC:1.14.14.60 1.14.14.65]
K22636,ferruginol synthase / ferruginol monooxygenase [EC:1.14.14.175 1.14.14.60]
K22637,11-hydroxysugiol 20-monooxygenase [EC:1.14.14.67]
