id,reaction,ec,module,orthology,pathway,rclass,rhea,comment,name,overall,remark
R11842,1 C00341 <=> 1 C00013 + 1 C21702,4.2.3.177,,,,, 54075,,"geranyl-diphosphate diphosphate-lyase (cyclizing, beta-thujene-forming)",,
R11843,1 C04217 <=> 1 C00013 + 1 C21703,4.2.3.178,,,,, 54079,,"all-trans-pentaprenyl-diphosphate diphosphate-lyase (cylizing, stellata-2,6,19-triene-forming)",,
R11844,1 C00448 <=> 1 C00013 + 1 C21705,4.2.3.179,,,,, 54111,,"(2E,6E)-farnesyl-diphosphate diphosphate-lyase (cyclizing, guaia-4,6-diene-forming)",,
R11845,1 C00353 <=> 1 C00013 + 1 C21706,4.2.3.180,,,,, 54119,,"geranylgeranyl-diphosphate diphosphate-lyase (cyclizing, pseudolaradiene-forming)",,
R11846,1 C00448 <=> 1 C00013 + 1 C21707,4.2.3.181,,,,, 54115,,"(2E,6E)-farnesyl-diphosphate diphosphate-lyase (cyclizing, selina-4(15),7(11)-diene-forming)",,
R11847,1 C00001 + 1 C00448 <=> 1 C00013 + 1 C21708,4.2.3.182,,,,, 54375,,"(2E,6E)-farnesyl-diphosphate diphosphate-lyase [cyclizing, (+)-(2S,3R,9R)-pristinol-forming]",,
R11848,1 C00001 + 1 C11901 <=> 1 C00013 + 1 C21709,4.2.3.183,,K22945,rn00904 rn01110,, 54379,,"(+)-copalyl-diphosphate diphosphate-lyase (cyclizing, nezukol-forming)",,
R11849,1 C00001 + 1 C00448 <=> 1 C00013 + 1 C21710,4.2.3.184,,,,, 54383,,"(2E,6E)-farnesyl-diphosphate diphosphate-lyase (cyclizing, 5-hydroxy-alpha-gurjunene-forming)",,
R11850,1 C06089 <=> 1 C00013 + 1 C21711,4.2.3.185,,,,, 54499,,"ent-copalyl-diphosphate diphosphate-lyase (cyclizing, ent-atiserine-forming)",,
R11851,1 C21656 <=> 1 C00013 + 1 C21714,4.2.3.186,,K22947,rn00904 rn01110,, 18724,,"ent-8alpha-hydroxylabd-13-en-15-yl-diphosphate diphosphate-lyase (cyclizing, ent-13-epi-manoyl-oxide-forming)",,
R11852,1 C00001 + 1 C00448 <=> 1 C00013 + 1 C21715,4.2.3.187,,,,, 54063,,"(2E,6E)-farnesyl-diphosphate diphosphate-lyase [cyclizing, (2Z,6E)-hedycaryol-forming]",,
R11853,1 C04217 <=> 1 C00013 + 1 C21716,4.2.3.188,,,,RC00637__C04217_C21716, 54503,,all-trans-pentaprenyl-diphosphate diphosphate-lyase (beta-geranylfarnesene-forming),,
R11854,1 C01230 <=> 1 C00013 + 1 C21717,4.2.3.188,,,,RC00637__C01230_C21717, 54507,,all-trans-hexaprenyl-diphosphate diphosphate-lyase (beta-hexaprene-forming),,
R11855,1 C04216 <=> 1 C00013 + 1 C21718,4.2.3.188,,,,RC00637__C04216_C21718,,,all-trans-heptaprenyl-diphosphate diphosphate-lyase (beta-heptaprene-forming),,
R11856,1 C21658 <=> 1 C00013 + 1 C21720,4.2.3.189,,,,RC03503__C21658_C21720, 54515,,"peregrinol-diphosphate diphosphate-lyase [(13R)-9,13-epoxylabd-14-ene-forming]",,
R11857,1 C20270 <=> 1 C00013 + 1 C21725,4.2.3.190,,,,RC03503__C20270_C21725, 54519,,(13E)-8alpha-hydroxylabd-13-en-15-yl-diphosphate diphosphate-lyase (manoyl-oxide-forming); copal-8-ol-diphosphate diphosphate-lyase (manoyl-oxide-forming),,
R11858,1 C00353 <=> 1 C00013 + 1 C21726,4.2.3.191,,,,, 54523,,geranylgeranyl-diphosphate diphosphate-lyase (cycloaraneosene-forming),,
R11859,1 C21727 <=> 1 C00013 + 1 C21728,4.2.3.192,,,,RC00637__C21727_C21728, 54639,,"(13E)-labda-7,13-dien-15-yl-diphosphate diphosphate-lyase [labda-7,13(16),14-triene-forming]",,
R11860,1 C11901 <=> 1 C00013 + 1 C21729,4.2.3.193,,,,RC02338__C11901_C21729, 54643,,"(+)-copalyl-diphosphate diphosphate-lyase [(12E)-labda-8(17),12,14-triene-forming]",,
R11861,1 C00051 <=> 1 C01419 + 1 C01879,4.3.2.7,,K07232,rn00480 rn01100,RC00064__C00051_C01419 RC00777__C00051_C01879, 47727,,glutathione gamma-glutamyl cyclotransferase (5-oxoproline-forming),,
R11862,1 C21730 <=> 1 C00047 + 1 C01879,4.3.2.8,,,,RC00096__C00047_C21730 RC00777__C01879_C21730, 16964,,epsilon-(gamma-L-glutamyl)-L-lysine gamma-glutamyl cyclotransferase (5-oxoproline-forming),,
R11864,1 C00001 + 1 C20994 <=> 1 C00014 + 1 C00022 + 1 C21731,4.4.1.36,,,,RC01784__C00022_C20994, 52783,subsequently R11865 (overall reaction: R11023),,,
R11865,1 C00030 + 1 C21731 <=> 1 C00001 + 1 C00028 + 1 C05570,4.4.1.36,,,,, 52787,"spontaneous, after R11864 (overall reaction: R11023)",,,
R11866,1 C03985 <=> 1 C01500,5.4.4.8,,,,RC02837__C01500_C03985, 54659,,(RS)-linalool hydroxymutase,,
R11867,1 C21732 <=> 1 C21733,5.4.99.65,,,,, 54667,,"(3S,22S)-2,3:22,23-diepoxy-2,3,22,23-tetrahydrosqualene mutase (cyclizing, pre-alpha-onocerin-forming)",,
R11868,1 C21733 <=> 1 C21734,5.4.99.66,,,,, 54671,,"pre-alpha-onocerin mutase (cyclizing, alpha-onocerin-forming)",,
R11869,1 C00353 <=> 1 C21735,5.5.1.28,,K22948,rn00904 rn01110,, 54687,,(-)-kolavenyl-diphosphate lyase (ring-opening),,
R11870,1 C00353 <=> 1 C21654,5.5.1.29,,,,, 54679,,(+)-kolavenyl-diphosphate lyase (ring-opening),,
R11871,1 C00353 <=> 1 C21727,5.5.1.30,,,,, 54695,,"(13E)-labda-7,13-dien-15-yl-diphosphate lyase (ring-opening)",,
R11872,1 C00002 + 1 C00156 + 1 C00229 <=> 1 C00013 + 1 C00020 + 1 C21505,6.2.1.50,,K12424,,, 54699,two-step reaction (see R11608+R11873),4-hydroxybenzoate:[acyl-carrier protein] ligase (AMP-forming),,
R11873,1 C00229 + 1 C21497 <=> 1 C00020 + 1 C21505,6.2.1.50,,K12424,,, 54703,Second step of the two-step reaction R11872 (R11608+R11873),,,
R11874,1 C01080 + 1 C11903 <=> 1 C00876 + 1 C11904,1.5.98.3,,,,RC02628__C00876_C01080, 54755,,reduced coenzyme F420:methanophenazine oxidoreductase,,
R11875,1 C00004 + 1 C00007 + 1 C00080 + 1 C00318 <=> 1 C00001 + 1 C00003 + 1 C00565 + 1 C21761,1.14.13.239,,,,RC03505__C00318_C21761, 55399,NADPH (see R11911),"L-carnitine,NADH:oxygen oxidoreductase (trimethylamine-forming)",,
R11876,1 C00003 + 2 C21736 <=> 1 C00004 + 1 C00080 + 1 C21737,1.8.1.20,,,,RC00011__C21736_C21737, 54807,,4-sulfanylbutanoate:NAD+ oxidoreductase,,
R11877,1 C00006 + 1 C21738 <=> 1 C00005 + 1 C00080 + 1 C21739,1.1.1.348,,,,RC00235__C21738_C21739, 56287,,(3R)-2'-hydroxyisoflavanone:NADP+ 4-oxidoreductase,,
R11878,1 C00007 + 2 C00145 + 1 C21740 <=> 1 C00001 + 1 C00283 + 1 C15496 + 1 C21741,1.8.3.7,,,,RC03506__C21740_C21741,,,[sulfatase]-L-cysteine:oxygen oxidoreductase (3-oxo-L-alanine-forming),,
R11879,1 C00043 + 1 C21742 <=> 1 C00015 + 1 C21743,2.4.1.150,,,,RC00059__C21742_C21743, 54823,,UDP-N-acetyl-alpha-D-glucosamine:beta-D-Gal-(1->4)-beta-D-GlcNAc-(1->3)-beta-D-Gal-(1->4)-beta-D-GlcNAc-R 6-beta-N-acetylglucosaminyltransferase (configuration-inverting),,
R11880,4 C00001 + 2 C00007 + 4 C19610 <=> 8 C00080 + 4 C21744,1.16.3.3,,,,, 52243,two-step reaction (see R11881+R11882),manganese(II):oxygen oxidoreductase,,
R11881,1 C00007 + 4 C00080 + 4 C19610 <=> 2 C00001 + 4 C19611,1.16.3.3,,,,, 52247,"the first step of two-step reaction (see R11880, R11881+R11882)",,,
R11882,6 C00001 + 1 C00007 + 4 C19611 <=> 12 C00080 + 4 C21744,1.16.3.3,,,,, 52251,"the second step of two-step reaction (see R11880, R11881+R11882)",,,
R11885,2 C00390 <=> 4 C00080 + 2 C00399 + 4 C05359,7.1.1.7,,,,RC00061__C00390_C00399,,"the first step of two-step reaction (see R11325, R11885+R11886)",,,
R11886,1 C00007 + 4 C00080 + 4 C05359 <=> 2 C00001,7.1.1.7,,,,,,"the second step of two-step reaction (see R11325, R11885+R11886)",,,
R11887,1 C00053 + 1 C21650 <=> 1 C00054 + 1 C17252,2.8.2.38,,K22321,rn00966,RC00007__C00053_C00054 RC00883__C17252_C21650,,,3'-phosphoadenylyl-sulfate:7-methylthioheptyl-desulfoglucosinolate sulfotransferase,,
R11888,1 C00053 + 1 C21746 <=> 1 C00054 + 1 C17254,2.8.2.38,,K22321,rn00966,RC00007__C00053_C00054 RC00883__C17254_C21746,,,3'-phosphoadenylyl-sulfate:8-methylthiooctyl-desulfoglucosinolate sulfotransferase,,
R11889,1 C00001 + 1 C01674 <=> 1 C00033 + 1 C21747,3.5.1.105,,,,RC00166__C01674_C21747, 27472,,"N,N'-diacetylchitobiose acetylhydrolase",,
R11890,1 C13252 <=> 1 C07649,,,,rn00983,RC01908__C07649_C13252,,incomplete reaction;P450,,,
R11891,1 C00002 + 1 C16634 <=> 1 C00008 + 1 C21748,2.7.4.14,,K13800,rn00983,RC00002__C00002_C00008,,,ATP:5-fluorouridine-monophosphate phosphotransferase,,
R11892,1 C00002 + 1 C04242 <=> 1 C00008 + 1 C21750,2.7.4.14,,K13800,rn00983,RC00002__C00002_C00008,,,ATP:5-fluorodeoxyuridine-monophosphate phosphotransferase,,
R11893,1 C00001 + 1 C00343 + 1 C21750 <=> 1 C00342 + 1 C21748,1.17.4.1,,K10807 K10808,rn00983,RC00013__C00342_C00343 RC00613__C21748_C21750,,,5-fluorodeoxyuridine-diphosphate:thioredoxin-disulfide 2'-oxidoreductase,,
R11894,1 C00002 + 1 C21748 <=> 1 C00008 + 1 C21749,2.7.4.6,,K00940,rn00983,RC00002__C00002_C00008,,,ATP:5-fluorouridine-diphosphate phosphotransferase,,
R11895,1 C00002 + 1 C21750 <=> 1 C00008 + 1 C21751,2.7.4.6,,K00940,rn00983,RC00002__C00002_C00008,,,ATP:5-fluorodeoxyuridine-diphosphate phosphotransferase,,
R11896,1 C00001 + 1 C21751 <=> 1 C00013 + 1 C04242,3.6.1.23,,K01520,rn00983,RC00002__C04242_C21751,,,5-fluorodeoxyuridine-triphosphate diphosphohydrolase,,
R11897,1 C03576 + 1 C06548 <=> 1 C21752,4.4.1.23,,K22363,rn00625 rn01120,RC03507__C06548_C21752,,,2-hydroxyethyl-CoM:2-mercaptoethanesulfonate lyase (epoxyalkane-ring-forming),,
R11898,1 C21752 <=> 1 C00024,,,,rn00625 rn01120,,,unclear reaction,,,
R11899,1 C03576 + 1 C20303 <=> 1 C21753,4.4.1.23,,K22363,rn00625 rn01120,RC01464__C20303_C21753,,,2-chloro-2-hydroxyethyl-CoM:2-mercaptoethanesulfonate lyase (epoxyalkane-ring-forming),,
R11900,1 C21753 <=> 1 C00024,,,,rn00625 rn01120,,,unclear reaction,,,
R11901,1 C00004 + 1 C00007 + 1 C00080 + 1 C06793 <=> 1 C00001 + 1 C00003 + 1 C20303,1.14.13.69,,K22353 K22354 K22355 K22356 K22357 K22358 K22359 K22360 K22361 K22362,rn00625 rn01120,,,,"chloroethylene,NADH:oxygen oxidoreductase",,
R11902,1 C00024 + 1 C05361 <=> 1 C00010 + 1 C07447,2.3.1.5,,K00622,rn00983,RC00004__C00010_C00024 RC03504__C05361_C07447,,,acetyl-CoA:hydrazine N-acetyltransferase,,
R11903,1 C00001 + 1 C07447 <=> 1 C00033 + 1 C05361,3.5.1.-,,,rn00983,RC00300__C00033_C07447 RC03504__C05361_C07447,,hepatic amidase,acetylhydrazine amidohydrolase,,
R11904,1 C00005 + 1 C00007 + 1 C00080 + 1 C07447 <=> 1 C00001 + 1 C00006 + 1 C21758,1.14.14.-,,K07415,rn00983,,,,"acetylhydrazine,NADPH:oxygen oxidoreductase",,
R11905,1 C00051 + 1 C21758 <=> 1 C02320,2.5.1.18,,K00799 K23790,rn00983,RC00948__C00051_C02320,,detoxification;unclear reaction,,,
R11906,1 C00027 + 1 C07054 <=> 2 C00001 + 1 C05360 + 1 C21754,1.11.1.21 1.11.2.2,,K03782 K10789,rn00983,,,,isoniazid:hydrogen-peroxide oxidoreductase,,
R11907,1 C00003 + 1 C21754 <=> 1 C21759,,,,rn00983,,,non-enzymatic,,,
R11909,1 C00006 + 1 C21754 <=> 1 C21760,,,,rn00983,,,non-enzymatic,,,
R11911,1 C00005 + 1 C00007 + 1 C00080 + 1 C00318 <=> 1 C00001 + 1 C00006 + 1 C00565 + 1 C21761,1.14.13.239,,,,RC03505__C00318_C21761, 55371,NADH (see R11875),"L-carnitine,NADPH:oxygen oxidoreductase (trimethylamine-forming)",,
R11912,1 C00007 + 1 C00030 + 1 C00398 <=> 1 C00001 + 1 C00028 + 1 C21762,1.14.99.59,M00962,K22434,rn00901 rn01100 rn01110,RC00046__C00398_C21762, 15868,,"tryptamine,hydrogen-donor:oxygen oxidoreductase (4-hydroxylating)",,
R11913,1 C00001 + 1 C00028 + 1 C21766 <=> 1 C00030 + 1 C21768,1.2.99.10,,,,RC00254__C21766_C21768, 44719,,"4,4'-diapolycopen-4-al,donor:oxygen oxidoreductase (4,4'-diapolycopen-4-oate-forming)",,
R11914,2 C00001 + 2 C00028 + 1 C19798 <=> 2 C00030 + 1 C21770,1.2.99.10,,K22445 K25072,rn00906 rn01110,, 42383,,"4,4'-diapolycopene-4,4'-dial,donor:oxygen oxidoreductase (4,4'-diapolycopene-4,4'-dioate-forming)",,
R11915,1 C00205 + 1 C00638 <=> 1 C00011 + 1 C21763,4.1.1.106,,K22464,,RC03514__C00638_C21763, 18972,,"fatty acid carboxy-lyase (light-dependent, alkane-forming)",,
R11916,1 C00001 + 1 C00007 + 1 C00355 <=> 1 C00011 + 1 C00014 + 1 C00027 + 1 C04043,4.1.1.107,,K01618,rn00350 rn01100,RC03515__C00355_C04043, 55527,,L-dopa carboxy-lyase (oxidative-deaminating),,
R11917,1 C00001 + 1 C00007 + 1 C00082 <=> 1 C00011 + 1 C00014 + 1 C00027 + 1 C03765,4.1.1.108,,K22327,rn00350 rn00950 rn01100 rn01110,RC03515__C00082_C03765, 55531,,L-tyrosine carboxy-lyase (oxidative-deaminating),,
R11918,1 C00001 + 1 C00007 + 1 C00079 <=> 1 C00011 + 1 C00014 + 1 C00027 + 1 C00601,4.1.1.109,,K22328,rn00360 rn01100,RC03515__C00079_C00601, 55535,,L-phenylalanine carboxy-lyase (oxidative-deaminating),,
R11919,1 C00019 + 1 C00030 + 1 C03373 <=> 1 C00009 + 1 C00014 + 1 C00028 + 1 C00058 + 1 C00073 + 1 C05198 + 1 C21764,4.1.99.23,,K22465 K22466,rn00860 rn01100,RC03252__C00058_C03373, 53507,,5-amino-1-(5-phospho-beta-D-ribosyl)imidazole formate-lyase (5-hydroxybenzimidazole-forming),,
R11920,1 C00353 <=> 1 C00013 + 1 C21765,4.2.3.195,,K22467,,, 55219,,geranygeranyl-diphosphate diphosphate-lyase (rhizathalene-A-forming),,
R11921,1 C21769 <=> 1 C19609 + 1 C21767,4.99.1.12,,K09121,,, 54787,,"Ni(II)-pyridinium-3,5-bisthiocarboxylate-mononucleotide nickel-lyase (pyridinium-3,5-bisthiocarboxylate-mononucleotide forming)",,
R11922,1 C00002 + 1 C00229 + 1 C21446 <=> 1 C00013 + 1 C00020 + 1 C21506,6.2.1.51,,K21059,,RC00014__C21446_C21506 RC00039__C00229_C21506, 55723,two-step reaction (see R11537+R11923),17-(4-hydroxyphenyl)heptadecanoate:[acyl-carrier protein] ligase (AMP-forming),,
R11923,1 C00229 + 1 C21445 <=> 1 C00020 + 1 C21506,6.2.1.51,,K21059,,RC00039__C00229_C21506 RC00070__C00020_C21445, 55727,Second step of the two-step reaction R11922 (R11537+R11923),,,
R11924,1 C00002 + 1 C00229 + 1 C21448 <=> 1 C00013 + 1 C00020 + 1 C21507,6.2.1.51,,K21059,,RC00014__C21448_C21507 RC00039__C00229_C21507, 55731,two-step reaction (see R11538+R11925),19-(4-hydroxyphenyl)nonadecanoate:[acyl-carrier protein] ligase (AMP-forming),,
R11925,1 C00229 + 1 C21447 <=> 1 C00020 + 1 C21507,6.2.1.51,,K21059,,RC00039__C00229_C21507 RC00070__C00020_C21447, 55735,Second step of the two-step reaction R11924 (R11538+R11925),,,
R11926,1 C00002 + 1 C00010 + 1 C21771 <=> 1 C00013 + 1 C00020 + 1 C21772,6.2.1.52,,,,RC00004__C00010_C21772 RC01438__C21771_C21772, 54751,,"(R)-4,5-dihydro-2-(6-hydroxy-1,3-benzothiazol-2-yl)thiazole-4-carboxylate:CoA ligase (AMP-forming)",,
R11927,1 C00006 + 1 C21773 <=> 1 C00005 + 1 C00080 + 1 C21774,1.3.1.113,,,,RC03508__C21773_C21774, 55151,,[(3S)-4-alkanoyl-5-oxooxolan-3-yl]methyl phosphate:NADP+ oxidoreductase,,
R11928,2 C00080 + 2 C00138 + 2 C00876 + 1 C03576 + 1 C04628 <=> 2 C00139 + 2 C01080 + 1 C04832,1.8.98.4,M00356 M00357 M00563 M00567,K03388 K03389 K03390,rn00680 rn01100 rn01120 rn01200,RC00011__C03576_C04832, 55747,,"CoB,CoM,ferredoxin:coenzyme F420 oxidoreductase",,
R11929,1 C00051 + 1 C00283 + 1 C15602 <=> 1 C15603 + 1 C17267,1.8.5.8,,K22470,rn00920 rn01100 rn01120,RC02313__C00051_C17267, 55159,,"sulfide:glutathione,quinone oxidoreductase",,
R11930,1 C00001 + 1 C21775 <=> 1 C21776,3.3.2.9,,,,RC03509__C21775_C21776, 55767,oxetane hydrolase,,,
R11931,2 C00139 + 1 C03576 + 1 C04628 <=> 2 C00080 + 2 C00138 + 1 C04832,1.8.7.3,M00356 M00357 M00563 M00567,K03388 K03389 K03390 K22480 K22481 K22482,rn00680 rn01100 rn01120 rn01200,RC00011__C03576_C04832, 55163,,"CoB,CoM:ferredoxin oxidoreductase",,
R11932,1 C21777 <=> 1 C00011 + 1 C21762,4.1.1.105,,K22433,rn00901,RC00299__C21762_C21777,,,4-hydroxy-L-tryptophan carboxy-lyase,,
R11933,1 C00002 + 1 C21762 <=> 1 C00008 + 1 C21778,2.7.1.222,M00962,K22435,rn00901 rn01100 rn01110,RC00002__C00002_C00008 RC00151__C21762_C21778, 55567,,ATP:4-hydroxytryptamine 4-phosphotransferase,,
R11934,2 C00019 + 1 C21778 <=> 2 C00021 + 1 C07576,2.1.1.345,,K22436,,RC03038__C07576_C21778, 55571,,"S-adenosyl-L-methionine:norbaeocystin N,N-dimethyltransferase; S-adenosyl-L-methionine:4-hydroxytryptamine-4-phosphate N,N-dimethyltransferase",,
R11935,1 C00019 + 1 C21778 <=> 1 C00021 + 1 C21779,2.1.1.345,M00962,K22436,rn00901 rn01100 rn01110,RC00060__C21778_C21779, 55575,,S-adenosyl-L-methionine:norbaeocystin N-methyltransferase,,
R11936,1 C00019 + 1 C21779 <=> 1 C00021 + 1 C07576,2.1.1.345,M00962,K22436,rn00901 rn01100 rn01110,RC00181__C07576_C21779, 55579,,S-adenosyl-L-methionine:baeocystin N-methyltransferase,,
R11937,1 C00096 + 1 C01289 <=> 1 C00035 + 1 C21780,2.4.1.348,,,,RC00005__C00035_C00096, 53319,,"GDP-alpha-D-mannose:N-acetyl-alpha-D-glucosaminyl-diphospho-ditrans,octacis-undecaprenol 3-alpha-mannosyltransferase (configuration-retaining)",,
R11938,2 C00096 + 1 C21780 <=> 2 C00035 + 1 C21781,2.4.1.349,,,,RC00005__C00035_C00096, 53323,,"GDP-alpha-D-mannose:alpha-D-mannosyl-(1->3)-N-acetyl-alpha-D-glucosaminyl-diphospho-ditrans,octacis-undecaprenol 3-alpha-mannosyltransferase (configuration-retaining)",,
R11939,1 C00029 + 1 C21782 <=> 1 C00015 + 1 C21783,2.4.1.350,,K22426,,RC00005__C00015_C00029 RC00049__C21782_C21783, 52047,,UDP-alpha-D-glucose:mogrol 3-O-glucosyltransferase,,
R11940,3 C00129 + 1 C00235 <=> 3 C00013 + 1 C21784,2.5.1.142,,,,RC00279__C00129_C21784, 55523,three-step reaction (see R01659+R12638+R12639),dimethylallyl-diphosphate:isopentenyl-diphosphate cistransferase (adding 3 isopentenyl units),,
R11941,1 C00001 + 1 C00002 + 1 C00064 <=> 1 C00009 + 1 C00020 + 1 C21785,2.7.3.13,,K22424,,RC00002__C00002_C00020 RC03516__C00064_C21785, 55583,,ATP:L-glutamine N5-phosphotransferase,,
R11942,1 C00001 + 1 C09794 <=> 1 C00031 + 1 C21786,3.2.1.206,,K22425,,RC00049__C00031_C09794, 55743,,oleuropein 2-beta-D-glucohydrolase,,
R11943,2 C00080 + 2 C00138 + 1 C03576 + 1 C04628 <=> 2 C00139 + 2 C00282 + 1 C04832,1.8.98.5,M00356 M00357 M00563 M00567,K03388 K03389 K03390 K14126 K14127 K14128,rn00680 rn01100 rn01120 rn01200,RC00011__C03576_C04832, 55751__55755,,"CoB,CoM,ferredoxin:H2 oxidoreductase",,
R11944,2 C00011 + 2 C00080 + 2 C00138 + 1 C03576 + 1 C04628 <=> 2 C00058 + 2 C00139 + 1 C04832,1.8.98.6,M00356 M00357 M00563 M00567,K00125 K03388 K03389 K03390 K14127 K22516,rn00680 rn01100 rn01120 rn01200,RC00011__C03576_C04832,,,"coenzyme B,coenzyme M,ferredoxin:formate oxidoreductase",,
R11945,1 C00004 + 5 C00080 + 1 C00399 <=> 1 C00003 + 4 C00080 + 1 C00390,7.1.1.2,M00142 M00143 M00144 M00145 M00146 M00147,K00330 K00331 K00332 K00333 K00334 K00335 K00336 K00337 K00338 K00339 K00340 K00341 K00342 K00343 K03878 K03879 K03880 K03881 K03882 K03883 K03884 K03934 K03935 K03936 K03940 K03941 K03942 K03943 K05572 K05573 K05574 K05575 K05576 K05577 K05578 K05579 K05580 K05581 K05582 K05583 K05584 K05585 K05586 K05587 K05588 K13378 K13380 K15863,rn01100,RC00061__C00390_C00399, 29094,electron transport complex I,NADH:ubiquinone oxidoreductase,,
R11946,1 C00007 + 1 C17267 <=> 1 C21787,1.13.11.18,,,,RC03510__C17267_C21787, 13064,"the first step of two-step reaction (see R08678, R11946+R11947)",,,
R11947,1 C00001 + 1 C21787 <=> 1 C00051 + 1 C00094,1.13.11.18,,,,RC03147__C00051_C21787, 28658,"spontaneous;the second step of two-step reaction (see R08678, R11946+R11947)",,,
R11948,1 C00007 + 1 C00026 + 1 C21672 <=> 1 C00011 + 1 C00042 + 1 C21794,1.14.11.58,,,,, 55759,,"ornithine lipid,2-oxoglutarate:oxygen oxidoreductase (ester-linked acyl 2-hydroxylase)",,
R11949,1 C00007 + 1 C03024 + 1 C09704 <=> 2 C00001 + 1 C03161 + 1 C20701 + 1 C21795,1.14.14.59,,,,RC03196__C09704_C21795, 55427,,"(3S,6E)-nerolidol,[reduced NADPH---hemoprotein reductase]:oxygen oxidoreductase",,
R11950,1 C00002 + 1 C00151 + 1 C08491 <=> 1 C00013 + 1 C00020 + 1 C21509,6.3.2.52,,K14506,,RC00064__C00151_C21509 RC00090__C08491_C21509,,,jasmonate:L-amino-acid ligase,,
R11951,1 C00007 + 1 C03024 + 1 C09092 <=> 1 C00001 + 1 C03161 + 1 C21796,1.14.14.60,,K22635 K22636,rn00904 rn01110,RC00236__C09092_C21796, 55431,,"ferruginol,[reduced NADPH---hemoprotein reductase]:oxygen oxidoreductase (11-hydroxyferruginol forming)",,
R11952,1 C00007 + 2 C00080 + 1 C00473 + 2 C00662 <=> 2 C00001 + 2 C00667 + 1 C21797,1.14.19.53,,K17951,rn00830,RC00248__C00473_C21797,,,"all-trans-retinol,reduced adrenodoxin:oxygen 3,4-oxidoreductase",,
R11953,1 C00019 + 1 C21798 <=> 1 C00021 + 1 C21799,2.1.1.346,,,,RC00003__C00019_C00021, 52811,,S-adenosyl-L-methionine:adenine in U6 snRNA methyltransferase,,
R11954,1 C00019 + 1 C21653 <=> 1 C00021 + 1 C21800,2.1.1.347,,K22577,,RC00003__C00019_C00021 RC02082__C21653_C21800,,,S-adenosyl-L-methionine:(+)-kolavelool O-methyltransferase,,
R11955,1 C00101 + 1 C10882 <=> 1 C00143 + 1 C21801,2.1.5.1,,K22578,,RC00022__C00101_C00143 RC03518__C10882_C21801, 41014,,(+)-sesamin:tetrahydrofolate N-methylenetransferase,,
R11956,1 C00101 + 1 C21801 <=> 1 C00143 + 1 C21802,2.1.5.1,,K22578,,RC00022__C00101_C00143 RC03518__C21801_C21802, 52379,,(+)-demethylpiperitol:tetrahydrofolate N-methylenetransferase,,
R11957,1 C00024 + 1 C00469 <=> 1 C00010 + 1 C00849,2.3.1.268,,K22586,,RC00004__C00010_C00024 RC00041__C00469_C00849, 55975,,acetyl-CoA:ethanol O-acetyltransferase,,
R11958,1 C00001 + 2 C00040 <=> 2 C00010 + 1 C21651,2.3.3.20,,K22317,,RC00004__C00010_C00040, 55983,,acyl-CoA:acyl-CoA alkyltransferase [(2R)-2-alkyl-3-oxoalkanoate-forming],,
R11959,1 C00009 + 1 C19792 <=> 1 C00103 + 1 C00258,2.4.1.352,,K22597,,RC00397__C00258_C19792,,,2-O-(alpha-D-glucopyranosyl)-D-glycerate:phosphate alpha-D-glucosyltransferase (configuration-retaining),,
R11960,1 C00001 + 1 C00007 + 1 C00025 + 3 C00028 + 1 C00061 <=> 1 C00011 + 1 C00026 + 3 C00030 + 1 C21805,2.6.1.114,,K22598,,RC00006__C00025_C00026 RC03519__C00061_C21805, 54995,three-step reaction (see R11961+R11962+R11963),"L-glutamate:FMN aminotransferase (oxidizing, decarboxylating)",,
R11961,1 C00007 + 1 C00061 <=> 1 C00001 + 1 C21803,2.6.1.114,M00890,K22598,rn00998 rn01100 rn01110,RC00769__C00061_C21803,,"a part of three-step reaction (see R11960, R11961+R11962+R11963)",,,
R11962,1 C00001 + 1 C00028 + 1 C21803 <=> 1 C00030 + 1 C21804,2.6.1.114,M00890,K22598,rn00998 rn01100 rn01110,RC00075__C21803_C21804,,"a part of three-step reaction (see R11960, R11961+R11962+R11963)",,,
R11963,1 C00001 + 1 C00025 + 2 C00028 + 1 C21804 <=> 1 C00011 + 1 C00026 + 2 C00030 + 1 C21805,2.6.1.114,M00890,K22598,rn00998 rn01100 rn01110,RC00006__C00025_C00026 RC03520__C21804_C21805,,"a part of three-step reaction (see R11960, R11961+R11962+R11963)",,,
R11964,1 C00001 + 1 C00002 + 1 C06688 <=> 1 C00009 + 1 C00020 + 1 C21808,2.7.9.6,,K22579,,RC00002__C00002_C00020 RC00428__C06688_C21808, 56307,,"ATP:rifampicin, water 21-O-phosphotransferase",,
R11965,n C00001 + 1 C21811 <=> n C00133 + 1 C21812,3.1.1.103,,,,,,,teichoic acid D-alanylhydrolase,,
R11971,3 C00001 + 6 C00125 + 1 C21814 <=> 6 C00080 + 6 C00126 + 1 C21815,1.8.2.6,,,,RC03511__C21814_C21815, 16996,,[SoxY protein]-S-disulfanyl-L-cysteine:cytochrome-c oxidoreductase,,
R11972,1 C02199 + 1 C21816 <=> 1 C00015 + 1 C21817,2.4.1.351,,,,RC00005__C00015_C02199,,,UDP-beta-L-rhamnose:rhamnogalacturonan I 4-rhamnosyltransferase (configuration-inverting),,
